hindi,english,punjabi,maths
55,52,55,65
85,86,84,95
52,63,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,62,52
55,52,55,65
85,86,84,95
52,63,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,87,62
55,52,55,650
85,86,84,95
52,32,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,87,62
55,52,55,65
38,86,84,95
52,63,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,87,62
55,52,55,65
85,86,84,95
52,63,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,87,62
55,52,55,65
85,86,84,95
52,63,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,87,62
55,52,55,65
85,86,84,95
52,63,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,87,62
55,52,55,65
85,86,84,95
52,63,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,87,62
55,52,55,65
85,86,84,95
52,63,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,87,62
55,52,55,65
85,86,84,95
52,63,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,87,62
55,52,55,65
85,86,84,95
52,63,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,87,62
55,52,55,65
85,86,84,95
52,63,75,96
85,56,75,65
96,86,97,99
52,56,87,91
85,33,87,62
